epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1534.82,1.06498,0.808,1.0315,0.53179,0.65245,0.57763,0.39869,1.00521,0.89409,1.01344,0.008218,0.008218,0.008218
56,1755.85,1.06187,0.80539,1.03053,0.53401,0.64636,0.57745,0.39974,1.00636,0.90053,1.01442,0.008185,0.008185,0.008185
57,1973.57,1.05694,0.79978,1.02804,0.53376,0.65543,0.57593,0.3968,1.00585,0.90255,1.01364,0.008152,0.008152,0.008152
58,2190.62,1.05485,0.80115,1.02803,0.5359,0.64359,0.57298,0.39593,1.00456,0.90713,1.0125,0.008119,0.008119,0.008119
59,2409.7,1.06557,0.80674,1.03002,0.54762,0.63224,0.57636,0.39875,1.00427,0.89996,1.01297,0.008086,0.008086,0.008086
60,2632.14,1.06656,0.81426,1.03179,0.55399,0.63112,0.5793,0.40068,1.001,0.88723,1.01193,0.008053,0.008053,0.008053
61,2850.77,1.06161,0.81321,1.0309,0.55631,0.63211,0.5807,0.40206,0.99943,0.88516,1.01214,0.00802,0.00802,0.00802
62,3068.99,1.06111,0.80811,1.03045,0.55591,0.63891,0.57971,0.40055,0.998,0.88531,1.01156,0.007987,0.007987,0.007987
63,3289.91,1.05521,0.80144,1.02932,0.5635,0.6313,0.57921,0.4003,0.99967,0.88642,1.01295,0.007954,0.007954,0.007954
64,3509.29,1.05994,0.80115,1.02864,0.55369,0.63008,0.57651,0.39896,0.9982,0.88766,1.01239,0.007921,0.007921,0.007921
65,3726.63,1.05286,0.79578,1.02789,0.54405,0.64286,0.57344,0.39593,0.99829,0.89696,1.01219,0.007888,0.007888,0.007888
66,3942.62,1.05484,0.79877,1.02777,0.54309,0.64373,0.57486,0.39756,0.99763,0.89187,1.0118,0.007855,0.007855,0.007855
67,4163.54,1.05784,0.79795,1.02879,0.55881,0.62838,0.57689,0.39868,0.99915,0.89156,1.01255,0.007822,0.007822,0.007822
68,4387.53,1.05106,0.79511,1.02596,0.55917,0.63492,0.5786,0.39974,0.99724,0.89123,1.01157,0.007789,0.007789,0.007789
69,4610.55,1.05314,0.78653,1.02554,0.56727,0.6201,0.57481,0.39745,0.99821,0.8999,1.01192,0.007756,0.007756,0.007756
70,4832.37,1.05023,0.78889,1.0267,0.56451,0.62395,0.57438,0.39619,0.99853,0.90478,1.01169,0.007723,0.007723,0.007723
71,5050.46,1.04981,0.78897,1.02641,0.56421,0.62296,0.57297,0.39572,0.99814,0.90525,1.01155,0.00769,0.00769,0.00769
72,5276.82,1.04531,0.78308,1.02608,0.55704,0.6272,0.57004,0.39247,0.99817,0.90825,1.01165,0.007657,0.007657,0.007657
73,5507.14,1.04763,0.78223,1.0243,0.55377,0.62722,0.56867,0.39291,0.99802,0.90985,1.01215,0.007624,0.007624,0.007624
74,5734.27,1.04327,0.77997,1.02589,0.54899,0.63652,0.57066,0.39449,0.99767,0.91001,1.01189,0.007591,0.007591,0.007591
75,5957.06,1.04289,0.77042,1.02212,0.56255,0.62054,0.57169,0.39585,0.99741,0.90767,1.01182,0.007558,0.007558,0.007558
76,6184.08,1.04149,0.77374,1.02407,0.56084,0.61953,0.57066,0.39505,0.99737,0.90859,1.01219,0.007525,0.007525,0.007525
77,6405.51,1.03881,0.76895,1.02178,0.56254,0.62409,0.57142,0.39524,0.99756,0.91114,1.01215,0.007492,0.007492,0.007492
78,6627.27,1.04158,0.7688,1.02135,0.56181,0.62574,0.57155,0.39512,0.99818,0.91259,1.01215,0.007459,0.007459,0.007459
79,6851.08,1.03866,0.77335,1.02186,0.55791,0.63099,0.57124,0.39453,0.9988,0.9135,1.01229,0.007426,0.007426,0.007426
80,7072.58,1.03323,0.76533,1.01938,0.55851,0.62248,0.57028,0.39309,0.99895,0.91582,1.01223,0.007393,0.007393,0.007393
