epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4503.88,1.02554,0.74105,1.01786,0.56451,0.59926,0.57648,0.39451,1.02607,0.91671,1.0281,0.00571,0.00571,0.00571
67,4655.88,1.02398,0.73317,1.01249,0.55857,0.59724,0.56891,0.39099,1.02551,0.9214,1.02888,0.005644,0.005644,0.005644
68,4808.68,1.02246,0.73545,1.0153,0.58925,0.56614,0.5633,0.38876,1.02426,0.92932,1.02833,0.005578,0.005578,0.005578
69,4961.72,1.02324,0.73176,1.01261,0.57379,0.58201,0.56435,0.38964,1.02725,0.93536,1.02949,0.005512,0.005512,0.005512
70,5114.63,1.01804,0.72847,1.01174,0.53916,0.63431,0.56585,0.39092,1.02598,0.92577,1.0303,0.005446,0.005446,0.005446
71,5266.54,1.02103,0.7253,1.01146,0.53872,0.61666,0.5606,0.38786,1.02445,0.91753,1.02983,0.00538,0.00538,0.00538
72,5418.08,1.01067,0.71668,1.00769,0.56017,0.59925,0.5634,0.38803,1.02637,0.91722,1.0297,0.005314,0.005314,0.005314
73,5570.81,1.0123,0.71857,1.00958,0.56694,0.59934,0.56255,0.38766,1.0229,0.92008,1.03064,0.005248,0.005248,0.005248
74,5723.03,1.00661,0.71566,1.00754,0.5456,0.61701,0.56183,0.38637,1.02263,0.9233,1.02966,0.005182,0.005182,0.005182
75,5875.32,1.01471,0.7225,1.01075,0.56146,0.5996,0.56258,0.38731,1.02405,0.93757,1.0276,0.005116,0.005116,0.005116
76,6028.5,1.00673,0.71801,1.00705,0.54647,0.61653,0.55859,0.38429,1.02527,0.93674,1.02822,0.00505,0.00505,0.00505
77,6181.7,1.00018,0.71162,1.00515,0.5572,0.6027,0.55786,0.38467,1.02509,0.9526,1.02929,0.004984,0.004984,0.004984
78,6336,1.0015,0.71049,1.00574,0.56231,0.59972,0.55796,0.38538,1.02419,0.94884,1.0295,0.004918,0.004918,0.004918
79,6495.88,1.0049,0.70972,1.00443,0.54559,0.6163,0.5593,0.38539,1.02461,0.94524,1.02991,0.004852,0.004852,0.004852
80,6650.16,0.99945,0.71049,1.00499,0.54167,0.62123,0.56472,0.39019,1.02357,0.93648,1.03044,0.004786,0.004786,0.004786
